title,price,rating,reviews,delivery_days,work_type,extraction_date
,50.0,4.9,183.0,,,2025-09-01 11:19:18
,40.0,4.8,34.0,,,2025-09-01 11:19:18
,25.0,4.8,53.0,,,2025-09-01 11:19:18
,20.0,4.8,794.0,,,2025-09-01 11:19:18
,15.0,4.9,140.0,,,2025-09-01 11:19:18
,40.0,4.9,582.0,,,2025-09-01 11:19:18
,110.0,4.7,27.0,,,2025-09-01 11:19:18
,25.0,4.9,973.0,,,2025-09-01 11:19:18
,40.0,4.7,196.0,,,2025-09-01 11:19:18
,45.0,4.9,18.0,,,2025-09-01 11:19:18
,50.0,5.0,25.0,,,2025-09-01 11:19:18
,35.0,4.9,24.0,,,2025-09-01 11:19:18
,110.0,5.0,404.0,,,2025-09-01 11:19:18
,150.0,4.9,274.0,,,2025-09-01 11:19:18
,50.0,4.9,574.0,,,2025-09-01 11:19:18
,20.0,4.9,54.0,,,2025-09-01 11:19:18
,5.0,4.9,70.0,,,2025-09-01 11:19:18
,30.0,5.0,27.0,,,2025-09-01 11:19:18
,20.0,4.9,46.0,,,2025-09-01 11:19:18
,30.0,4.7,274.0,,,2025-09-01 11:19:18
,55.0,4.8,574.0,,,2025-09-01 11:19:18
,25.0,4.9,54.0,,,2025-09-01 11:19:18
,35.0,4.9,70.0,,,2025-09-01 11:19:18
,100.0,4.9,27.0,,,2025-09-01 11:19:18
,35.0,4.8,46.0,,,2025-09-01 11:19:18
,75.0,4.9,274.0,,,2025-09-01 11:19:18
,65.0,4.9,574.0,,,2025-09-01 11:19:18
,5.0,4.8,54.0,,,2025-09-01 11:19:18
,50.0,4.8,320.0,,,2025-09-01 11:19:18
,25.0,4.9,199.0,,,2025-09-01 11:19:18
,35.0,4.8,14.0,,,2025-09-01 11:19:18
,110.0,5.0,866.0,,,2025-09-01 11:19:18
,150.0,4.9,1.0,,,2025-09-01 11:19:18
,35.0,4.9,5.0,,,2025-09-01 11:19:18
,20.0,4.9,64.0,,,2025-09-01 11:19:18
,50.0,4.9,70.0,,,2025-09-01 11:19:18
,100.0,4.9,27.0,,,2025-09-01 11:19:18
,20.0,4.8,46.0,,,2025-09-01 11:19:18
,35.0,4.8,485.0,,,2025-09-01 11:19:18
,110.0,5.0,350.0,,,2025-09-01 11:19:18
,150.0,4.9,169.0,,,2025-09-01 11:19:18
,35.0,5.0,84.0,,,2025-09-01 11:19:18
,20.0,4.9,137.0,,,2025-09-01 11:19:18
,50.0,4.9,143.0,,,2025-09-01 11:19:18
,100.0,4.9,125.0,,,2025-09-01 11:19:18
,20.0,4.8,280.0,,,2025-09-01 11:19:18
,35.0,4.8,973.0,,,2025-09-01 11:19:18
,110.0,5.0,287.0,,,2025-09-01 11:19:18
,150.0,4.9,23.0,,,2025-09-01 11:19:18
,35.0,5.0,10.0,,,2025-09-01 11:19:18
,85.0,4.9,17.0,,,2025-09-01 11:19:18
,25.0,4.9,172.0,,,2025-09-01 11:19:18
,30.0,4.9,7.0,,,2025-09-01 11:19:18
,5.0,4.8,245.0,,,2025-09-01 11:19:18
,45.0,4.8,404.0,,,2025-09-01 11:19:18
,15.0,4.9,515.0,,,2025-09-01 11:19:18
,30.0,4.8,83.0,,,2025-09-01 11:19:18
,30.0,5.0,231.0,,,2025-09-01 11:19:18
,50.0,4.9,111.0,,,2025-09-01 11:19:18
,100.0,5.0,81.0,,,2025-09-01 11:19:18
,20.0,4.8,19.0,,,2025-09-01 11:19:18
,20.0,4.8,97.0,,,2025-09-01 11:19:18
,75.0,5.0,794.0,,,2025-09-01 11:19:18
,5.0,4.9,274.0,,,2025-09-01 11:19:18
,80.0,4.8,574.0,,,2025-09-01 11:19:18
,20.0,5.0,54.0,,,2025-09-01 11:19:18
,40.0,4.9,320.0,,,2025-09-01 11:19:18
,25.0,5.0,199.0,,,2025-09-01 11:19:18
,10.0,4.9,14.0,,,2025-09-01 11:19:18
,5.0,5.0,866.0,,,2025-09-01 11:19:18
,20.0,5.0,1.0,,,2025-09-01 11:19:18
,75.0,4.9,5.0,,,2025-09-01 11:19:18
,20.0,4.8,64.0,,,2025-09-01 11:19:18
,50.0,4.9,70.0,,,2025-09-01 11:19:18
,5.0,4.8,27.0,,,2025-09-01 11:19:18
,130.0,4.8,46.0,,,2025-09-01 11:19:18
,25.0,4.9,485.0,,,2025-09-01 11:19:18
,50.0,4.9,350.0,,,2025-09-01 11:19:18
,10.0,5.0,169.0,,,2025-09-01 11:19:18
,10.0,4.8,84.0,,,2025-09-01 11:19:18
,30.0,5.0,,,,2025-09-01 11:19:18
,25.0,5.0,,,,2025-09-01 11:19:18
,65.0,4.7,,,,2025-09-01 11:19:18
,40.0,5.0,,,,2025-09-01 11:19:18
,25.0,5.0,,,,2025-09-01 11:19:18
,20.0,4.9,,,,2025-09-01 11:19:18
,40.0,4.9,,,,2025-09-01 11:19:18
,15.0,4.9,,,,2025-09-01 11:19:18
,110.0,4.9,,,,2025-09-01 11:19:18
,30.0,5.0,,,,2025-09-01 11:19:18
,35.0,4.8,,,,2025-09-01 11:19:18
,50.0,5.0,,,,2025-09-01 11:19:18
,55.0,4.8,,,,2025-09-01 11:19:18
,35.0,4.9,,,,2025-09-01 11:19:18
,110.0,4.9,,,,2025-09-01 11:19:18
,150.0,4.9,,,,2025-09-01 11:19:18
,35.0,4.9,,,,2025-09-01 11:19:18
,85.0,4.9,,,,2025-09-01 11:19:18
,25.0,4.9,,,,2025-09-01 11:19:18
,30.0,4.9,,,,2025-09-01 11:19:18
,5.0,4.9,,,,2025-09-01 11:19:18
,45.0,4.8,,,,2025-09-01 11:19:18
,15.0,4.8,,,,2025-09-01 11:19:18
,30.0,4.9,,,,2025-09-01 11:19:18
,30.0,4.8,,,,2025-09-01 11:19:18
,50.0,5.0,,,,2025-09-01 11:19:18
,100.0,4.9,,,,2025-09-01 11:19:18
,20.0,5.0,,,,2025-09-01 11:19:18
,20.0,4.8,,,,2025-09-01 11:19:18
,75.0,4.8,,,,2025-09-01 11:19:18
,5.0,5.0,,,,2025-09-01 11:19:18
,80.0,4.9,,,,2025-09-01 11:19:18
,20.0,4.8,,,,2025-09-01 11:19:18
,,5.0,,,,2025-09-01 11:19:18
,,4.9,,,,2025-09-01 11:19:18
,,5.0,,,,2025-09-01 11:19:18
,,4.9,,,,2025-09-01 11:19:18
,,5.0,,,,2025-09-01 11:19:18
